Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78753.0,302 E COVINGTON DR,LOT 72 WALNUT FOREST,2500.0,340.0,302 E COVINGTON DR,TUESDAY,Clearspace Prefab,
Residential,78757.0,6904 DAUGHERTY ST,LOT 2 BLK 6 GREEN ACRES,7000.0,1455.0,6904 DAUGHERTY ST,MONDAY,Pecan Valley Homes LLC***MAIN***,78732
Residential,78731.0,4705 FINLEY DR,LOT 3 BLK B SHOALWOODS ADDN SEC 1,8600.0,1329.0,4705 FINLEY DR,MONDAY,DAR Construction,78714-2028
Residential,78721.0,4711 SARA DR,,9000.0,2570.0,4711 SARA DR,MONDAY,A Vision General Contractors LLC,78760
Residential,78722.0,2103 E 20TH ST,,0.0,844.0,2103 E 20TH ST,MONDAY,900 Rio Properties LLC,78768
Residential,78751.0,4507 AVENUE B,LOT 12 BLK 7 HYDE PARK ANNEX,0.0,0.0,4507 AVENUE B,WEDNESDAY,R. E. Craig Construction,78747
Commercial,78702.0,2415 E 5TH ST,8897 AC OF OLT 10 DIV O INDUSTRIAL ADDN PLUS VAC ROWTOTAL 09837AC,1500.0,2573.0,2415 E 5TH ST,MONDAY,"Icon Design Build, LLC",78702
Residential,78703.0,2616 SPRING LN,N PT OF LOT 7  S PT OF LOT 8 TARRYTOWN OAKS SEC 2,0.0,0.0,2616 SPRING LN,MONDAY,"Elite Pools Of Austin, Ltd.",78620
Commercial,78759.0,10901 RESEARCH BLVD SVRD NB,1726 ACR OF LOT 1 BALCONES SUBD,35000.0,3911.0,10901 RESEARCH BLVD NB,FRIDAY,"Total Demolition, Inc",76640
Residential,78756.0,4004 SINCLAIR AVE,S 20FT OF LOT 8  N 40FT LOT 9 BLK 5 MCGUIRES SUBD NO 1,2000.0,361.0,4004 SINCLAIR AVE,FRIDAY,"Aqua Builders, Inc.",78619
Residential,78703.0,3006 BEVERLY RD,N 5 FT OF LOT 11 LOT 12 PLUS 33X63 FT AV OF LOT 56 BLK 4 BRYKERWOODS F,0.0,0.0,3006 BEVERLY RD,TUESDAY,Waldrop Beckworth LLC  **MAIN**,78701
Residential,78703.0,1422 PRESTON AVE,E 45 FT OF LOT 22 BLK 15 PEMBERTON HEIGHTS SEC 3 LOT 1 BLK 17 W 10 FT OF PEMBERTON HEIGHTS SEC 8,0.0,0.0,1422 PRESTON AVE,THURSDAY,,78703
Residential,78741.0,1000 VARGAS RD,LOT 10 BLK 4 CHERNOSKY NO 15,3600.0,1450.0,1000 VARGAS RD,MONDAY,"H & H Foradory Construction, Inc.",78617
Commercial,78745.0,133 E BEN WHITE BLVD SVRD EB,LOT 2A CONGRESS SQUARE AMENDED PLAT OF LOTS 12,3000.0,0.0,133 E BEN WHITE BLVD EB,TUESDAY,Grounds Construction,78752
Residential,78704.0,813 RUTHERFORD PL,LOT 2 BLK 2 TRAVIS HEIGHTS,0.0,0.0,813 RUTHERFORD PL,THURSDAY,DAR Construction,78714-2028
Residential,78704.0,617 TERRELL HILL DR,LOT 1 BLK 1 RESUB LOT 3 LOVELESS ADDN,6500.0,600.0,617 TERRELL HILL DR,WEDNESDAY,,78704
Residential,78702.0,1003 BRASS ST,LOT 12 BLK 2 OLT 3843 DIV A BURATTI  CHERICO,5000.0,870.0,1003 BRASS ST,MONDAY,DAR Construction,78714-2028
Residential,78756.0,1407 NORTH ST,,0.0,0.0,1407 NORTH ST,WEDNESDAY,"LETB Properties, LLC",78732
Residential,78731.0,6100 LEDGE MOUNTAIN DR,LOT 20 BLK X NORTHWEST HILLS SEC 12,0.0,0.0,6200 MESA DR,MONDAY,Absolute Demolition Inc. main***,78630
Commercial,78722.0,2015 MANOR RD,,20000.0,3400.0,2015 MANOR RD,THURSDAY,D.A.R Construction MAIN,78714-2028
Commercial,78702.0,900 CHICON ST,ALL OF LOT 7 LESS W 16FT OF DIVISION B,0.0,1100.0,900 CHICON ST,THURSDAY,Southwest Destructors****MAIN***,78763
Commercial,78702.0,900 CHICON ST,ALL OF LOT 7 LESS W 16FT OF DIVISION B,0.0,1680.0,900 CHICON ST,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78751.0,945 E 50TH ST,LOT 10 BLK Q RIDGETOP,4500.0,750.0,945 E 50TH ST,WEDNESDAY,DAR Construction,78714-2028
Residential,78705.0,305 E 34TH ST,LOT 34 BLK 18 STECK E L,0.0,0.0,305 E 34TH ST,TUESDAY,Joseph Companies,78703
Residential,78703.0,1631 PALMA PLZ,LOT 16  W 5FT OF LOT 15 ENFIELD E  VAC ROW 0076A,17500.0,1950.0,1631 PALMA PLZ,WEDNESDAY,NWS Construction LLC MAIN****,78765
Residential,78703.0,3412 HAPPY HOLLOW LN,02077 AC OF LOT 2 BLK 14 HAPPY HOLLOW,6850.0,2002.0,3412 HAPPY HOLLOW LN,THURSDAY,"H & H Foradory Construction, Inc.",78617
Residential,78702.0,1182 RIDGEWAY DR,,4000.0,1008.0,1182 RIDGEWAY DR,TUESDAY,Changos Service,
Residential,78704.0,1002 AUDREY CT,LOT 20 GARDEN OAKS SEC 5A,5000.0,1649.0,1002 AUDREY CT,WEDNESDAY,VISIO R-2 1 LP,78757
Residential,78704.0,1006 JEWELL ST,LOT 4 BLK D CAPITAL HEIGHTS PLUS 12 ADJ VAC ALLEY,2500.0,655.0,1006 JEWELL ST,TUESDAY,Green Places Inc,78704
Residential,78704.0,1708 HETHER ST,020 AC OF LOT 2021 WEST END ADDN PLUS ADJ PART OF VAC STREET,4500.0,1080.0,1708 HETHER ST,THURSDAY,Jett Abram LLC,78704
Residential,78702.0,106 COMAL ST,TRT C OLT 20 DIVISION O,2750.0,632.0,106 COMAL ST,TUESDAY,Marcelo's Sand and Loam,78760-9415
Residential,78702.0,108 COMAL ST,TRT B OLT 20 DIVISION O,2750.0,946.0,108 COMAL ST,TUESDAY,Marcelo's Sand and Loam,78760-9415
Residential,78703.0,2814 GLENVIEW AVE,S CEN 77 X 1299 FT OF TRT B BRYKER WOODS,0.0,0.0,2814 GLENVIEW AVE,MONDAY,JD Hunt Construction,78731
Commercial,78704.0,1632 S 1ST ST,172 AC OF BLK C BOULDIN JAMES E ADDN,9000.0,1150.0,1632 S 1ST ST,MONDAY,DAR Construction,78714-2028
Residential,78722.0,3709 GRAYSON LN,,6000.0,1143.0,3709 GRAYSON LN,TUESDAY,A Vision General Contractors LLC,78760
Residential,78703.0,2803 TOWNES LN,LOT 46A RESUB OF LOT 4648 TARRY TOWN,0.0,0.0,2803 TOWNES LN,MONDAY,Southwest Destructors****MAIN***,78763
Residential,78702.0,2328 SANTA MARIA ST,LOT 7 BLK 5 OLT 10 DIV O INDUSTRIAL ADDN,0.0,0.0,2328 SANTA MARIA ST,WEDNESDAY,DAR Construction,78714-2028
Residential,78751.0,919 E 51ST ST,,2000.0,253.0,919 E 51ST ST,WEDNESDAY,Forsite Studio,78702
Residential,78704.0,1012 BRODIE ST,,0.0,600.0,1012 BRODIE ST,MONDAY,Geoscapes Of Tex Inc.,78646
Residential,78703.0,712 UPSON ST,LOT 12 BLK 2 DEEP EDDY HEIGHTS,0.0,0.0,712 UPSON ST,WEDNESDAY,"Heart of Texas Demolition, LLC**MAIN***",78617
Residential,78745.0,5302 BUFFALO PASS,LOT 5 BLK A SOUTHERN OAKS SEC 6,3500.0,1708.0,5302 BUFFALO PASS,WEDNESDAY,"Moore-Tate Projects and Design, LLC",78704
Residential,78744.0,7503 WILD ONION DR,LOT 2 BLK E YARRABEE BEND SEC 1,5200.0,1700.0,7503 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7447 ONION CREEK DR,LOT 3 BLK C YARRABEE BEND SEC 1,8400.0,3000.0,7447 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7309 WILD ONION DR,LOT 10 BLK P ONION CREEK FOREST SEC 4 PRORATE 1115 TO 12215,6500.0,2100.0,7309 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7606 WILD ONION DR,LOT 13 BLK C YARRABEE BEND SEC 3,5300.0,1800.0,7606 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7307 WILD ONION DR,LOT 9 BLK P ONION CREEK FOREST SEC 4,6200.0,2000.0,7307 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7402 ONION CROSSING DR,LOT 14 BLK L ONION CREEK FOREST SEC 4,0.0,0.0,7402 ONION CROSSING DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7444 ONION CREEK DR,LOT 4 BLK B YARRABEE BEND SEC 1,5900.0,1500.0,7444 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7445 ONION CREEK DR,LOT 4 BLK C YARRABEE BEND SEC 1,0.0,0.0,7445 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7312 LADYBUG ST,LOT 13 BLK D YARRABEE BEND SEC 1,7300.0,2700.0,7312 LADYBUG ST,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5602 HONEYBEE BND,LOT 14 BLK H YARRABEE BEND SEC 3,0.0,0.0,5602 HONEYBEE BND,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5206 CANELLA DR,LOT 19 BLK J SILVERSTONE PHS 1 SEC 1,0.0,0.0,5206 CANELLA DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5224 CANELLA DR,LOT 3 BLK P SILVERSTONE PHS 1 SEC 1,0.0,0.0,5224 CANELLA DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7403 BUTTONBUSH DR,LOT 9 BLK M SILVERSTONE PHS 1 SEC 1,7100.0,2300.0,7403 BUTTONBUSH DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7307 BUTTONBUSH DR,LOT 11 BLK M SILVERSTONE PHS 1 SEC 1,6200.0,1900.0,7307 BUTTONBUSH DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5201 CANELLA DR,LOT 6 BLK K SILVERSTONE PHS 1 SEC 1,10300.0,3800.0,5201 CANELLA DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5107 SAVOREY LN,LOT 3 BLK N SILVERSTONE PHS 1 SEC 1,4000.0,1300.0,5107 SAVOREY LN,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5102 CANELLA DR,LOT 10 BLK J SILVERSTONE PHS 1 SEC 1,4100.0,1240.0,5102 CANELLA DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5110 CANELLA DR,LOT 14 BLK J SILVERSTONE PHS 1 SEC 1,0.0,0.0,5110 CANELLA DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7507 WILD ONION DR,LOT 4 BLK E YARRABEE BEND SEC 3,0.0,0.0,7507 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7311 WILD ONION DR,LOT 11 BLK P ONION CREEK FOREST SEC 4,7200.0,2600.0,7311 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7401 WILD ONION DR,LOT 13 BLK P ONION CREEK FOREST SEC 4,5800.0,2100.0,7401 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7501 WILD ONION DR,LOT 1 BLK E YARRABEE BEND SEC 1,8900.0,3000.0,7501 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7407 WILD ONION DR,LOT 22 BLK D YARRABEE BEND SEC 1,6900.0,2500.0,7407 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7506 WILD ONION DR,LOT 7 BLK C YARRABEE BEND SEC 3,2100.0,0.0,7506 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7205 ANTOINE CIR,LOT 31 BLK C ONION CREEK PLANTATIONS SEC 1,7700.0,2000.0,7205 ANTOINE CIR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7301 BUTTONBUSH DR,LOT 14 BLK M SILVERSTONE PHS 1 SEC 1,8100.0,1600.0,7301 BUTTONBUSH DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7446 ONION CREEK DR,LOT 3 BLK B YARRABEE BEND SEC 1,7300.0,2300.0,7446 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7448 ONION CREEK DR,LOT 2 BLK B YARRABEE BEND SEC 1,6900.0,2400.0,7448 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7604 WILD ONION DR,LOT 12 BLK C YARRABEE BEND SEC 3,6000.0,1900.0,7604 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7449 ONION CREEK DR,LOT 2 BLK C YARRABEE BEND SEC 1,5800.0,2100.0,7449 ONION CREEK DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7603 WILD ONION DR,LOT 7 BLK E YARRABEE BEND SEC 3,5600.0,1900.0,7603 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7601 WILD ONION DR,LOT 6 BLK E YARRABEE BEND SEC 3,5400.0,2000.0,7601 WILD ONION DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7203 ANTOINE CIR,LOT 30 BLK C ONION CREEK PLANTATIONS SEC 1,6100.0,1900.0,7203 ANTOINE CIR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78745.0,7405 COOPER LN,,6000.0,1500.0,7405 COOPER LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78745.0,7405 COOPER LN,,1200.0,300.0,7405 COOPER LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78745.0,7405 COOPER LN,,1200.0,300.0,7405 COOPER LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78745.0,7405 COOPER LN,,1500.0,500.0,7405 COOPER LN,THURSDAY,Southwest Destructors****MAIN***,78763
Residential,78744.0,7403 WILD ONION DR,LOT 24 BLK D YARRABEE BEND SEC 1,0.0,0.0,7403 WILD ONION DR,FRIDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7600 WILD ONION DR,LOT 10 BLK C YARRABEE BEND SEC 3,4700.0,1600.0,7600 WILD ONION DR,FRIDAY,Building Abatement Demolition Co Inc,78642
Residential,78703.0,800 NORWALK LN,LOT 1 MARIETTA HEIGHTS,0.0,0.0,800 NORWALK LN,FRIDAY,"Hatch Works, LLC",78702
Residential,78751.0,907 E 52ND ST,LOT 4  W20 FT OF LOT 5 BLK E RIDGETOP,1000.0,400.0,907 E 52ND ST,MONDAY,RubyAnne Designs,78704
Commercial,78704.0,3701 S LAMAR BLVD,LOT 2 PANTHER TRAIL SUBD,18000.0,3200.0,3701 S LAMAR BLVD,TUESDAY,"Champion Site Prep, Inc.",78726
Residential,78757.0,6102 GENA CT,LOT 15 BLK B ALLANDALE WEST SEC 5,0.0,0.0,6102 GENA CT,MONDAY,"Cody Pools, Inc.",78626
Residential,78702.0,2007 E 17TH ST,LOT 312 BLK 4 OLT 35 DIV B HOFHEINZ RESUB RESUB OF LOTS 15,5000.0,405.0,2007 E 17TH ST,WEDNESDAY,Make Ready,
Residential,78703.0,3005 HARRIS BLVD,S 53 FT OF LOT 2 BLK 1 BRYKERWOODS B,0.0,0.0,3005 HARRIS BLVD,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78757.0,5915 CARLEEN DR,LOT 4 BLK F ALLANDALE WEST SEC 3,5000.0,2410.0,5915 CARLEEN DR,WEDNESDAY,DAR Construction,78714-2028
Residential,78702.0,1916 E 11TH ST,LOT 8 BLK C OLT 862 DIV B COLLEGE HEIGHTS ADDN,1500.0,1800.0,1916 E 11TH ST,THURSDAY,"CAPITAL CITY BUILDERS, LLC",78630
Residential,78702.0,2310 E 13TH ST,E 60' OF LOT 56 BLK 20 OLT 3233 DIV B GLENWOOD ADDN,5000.0,800.0,2310 E 13TH ST,FRIDAY,DAR Construction,78714-2028
Residential,78745.0,7415 COOPER LN,LOT 3 BLK A MUELLER ACRES,5000.0,1188.0,7415 COOPER LN,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78745.0,7415 COOPER LN,LOT 3 BLK A MUELLER ACRES,5000.0,288.0,7415 COOPER LN,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78704.0,1402 NEWNING AVE,LOT 1 RICHEY FLORENCE E SUBD,5000.0,1700.0,1402 NEWNING AVE,WEDNESDAY,DAR Construction,78714-2028
Residential,78722.0,2500 GIVENS AVE,LOT 17 HOLY CROSS HEIGHTS,10000.0,1456.0,2500 GIVENS AVE,FRIDAY,NWS Construction LLC MAIN****,78765
Residential,78756.0,1607 HOUSTON ST,E591FT OF LOT 12 BLK 7 BROADACRES,2500.0,1140.0,1607 HOUSTON ST,FRIDAY,DAR Construction,78714-2028
Residential,78704.0,1120 REAGAN TER,,10000.0,0.0,1120 REAGAN TER,TUESDAY,"Options For Owners,  LLP",
Residential,78704.0,411 POST ROAD DR,LOT 12 BLK B WILLIAMSON SUBD SEC 2,7200.0,911.0,411 POST ROAD DR,FRIDAY,"Green Renovations, LLC",78617
Residential,78745.0,314 RED BIRD LN,LOT 5 BLK 4 PLEASANT HILL ADDN,5000.0,1278.0,314 RED BIRD LN,FRIDAY,Samurai Construction% Demolition,78652
Residential,78751.0,4807 HARMON AVE,LOT 6 WILLIAMS I A SUBD,10000.0,894.0,4807 HARMON AVE,MONDAY,"Mackey-Adams Properties, Inc.",78751-3403
Residential,78751.0,4809 HARMON AVE,LOT 5 WILLIAMS I A SUBD,10000.0,894.0,4809 HARMON AVE,MONDAY,"Mackey-Adams Properties, Inc.",78751-3403
Residential,78752.0,7009 BLESSING AVE,,2000.0,648.0,7009 BLESSING AVE,FRIDAY,,78644
Residential,78703.0,3203 BEVERLY RD,LOT 14 BLK 4 BRYKERWOODS E,6000.0,1643.0,3203 BEVERLY RD,TUESDAY,DAR Construction,78714-2028
Residential,78702.0,904 E 2ND ST,LOT 3 BLK 3 OLT 17 DIV O HARRINGTON SUBD,9000.0,910.0,904 E 2ND ST,FRIDAY,"Benjamin Construction, Inc.",78755
Residential,78731.0,4606 FINLEY DR,LOT 4 SHOAL VILLAGE SEC 4  ADJ 10FT SE CORNER OF C H JUNG HOMESTEAD TRACT,0.0,240.0,4606 FINLEY DR,TUESDAY,Oliver Custom Homes,78759
Residential,78757.0,900 RUTH AVE BLDG B,LOT 1A VIOLET CROWN HEIGHTS SEC 1 RESUB LOT 1 BLK A,0.0,0.0,900 RUTH AVE Bldg B,FRIDAY,"MX3 Homes, LLC",78756
Residential,78757.0,1304 PALO DURO RD,,7000.0,1278.0,1304 PALO DURO RD,FRIDAY,Pecan Valley Homes LLC***MAIN***,78732
Residential,78742.0,133 HERGOTZ LN,LOT 2 BLK C MONTERREY SUBD,500.0,745.0,133 HERGOTZ LN,WEDNESDAY,Chic Build,76567
Residential,78721.0,1730 BUNCHE RD,,5000.0,1632.0,1730 BUNCHE RD,WEDNESDAY,DAR Construction,78714-2028
Residential,78757.0,1405 ROMERIA DR,W39FT OF LOT 3  E21FT OF LOT 4 BLK T VIOLET CROWN HEIGHTS SEC 2 RESUB,5000.0,1108.0,1405 ROMERIA DR,WEDNESDAY,DAR Construction,78714-2028
Residential,78722.0,2817 E 22ND ST,LOT 20 BLK 2 OLT 48 DIV B AUSTIN HEIGHTS,5800.0,300.0,2817 E 22ND ST,TUESDAY,A Vision General Contractors LLC,78760
Residential,78702.0,1311 SINGLETON AVE,,4500.0,726.0,1311 SINGLETON AVE,TUESDAY,A Vision General Contractors LLC,78760
Residential,78702.0,2923 E MARTIN LUTHER KING JR BLVD,N100FT OF E 92FT LOT 14 OLT 28 DIVISION B,5000.0,1800.0,2923 E MARTIN LUTHER KING JR BLVD,TUESDAY,DAR Construction,78714-2028
Residential,78702.0,2923 E MARTIN LUTHER KING JR BLVD,N100FT OF E 92FT LOT 14 OLT 28 DIVISION B,0.0,0.0,2923 E MARTIN LUTHER KING JR BLVD,TUESDAY,DAR Construction,78714-2028
Residential,78721.0,1123 MANSELL AVE,N 01610 A OF LOT 10 BLK 5 CHERNOSKY NO 8,5500.0,842.0,1123 MANSELL AVE,WEDNESDAY,Cobos Design Constr,78705
Commercial,78750.0,11812 MILLWRIGHT PKWY,S5052  Woodland Village Of Anderson Mill Sec 2 Ph 2 BLOCK O Lot 8B,0.0,0.0,11812 MILLWRIGHT PKWY,THURSDAY,Keating Demolition,78736
Residential,78744.0,5203 CANELLA DR,LOT 7 BLK K SILVERSTONE PHS 1 SEC 1,0.0,0.0,5203 CANELLA DR,TUESDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,5103 CANELLA DR,LOT 3 BLK K SILVERSTONE PHS 1 SEC 1,0.0,0.0,5103 CANELLA DR,TUESDAY,Building Abatement Demolition Co Inc,78642
Residential,78704.0,2310 S 2ND ST,LOT 2 BLK D LOMA LINDA,6000.0,975.0,2310 S 2ND ST,TUESDAY,Hammer Design,78704
Residential,78756.0,1406 NORTH ST,,10000.0,772.0,1406 NORTH ST,FRIDAY,Kamenka Construction,
Residential,78744.0,7217 LAKE CHARLES DR,LOT 34 BLK C ONION CREEK PLANTATIONS SEC 1,0.0,0.0,7217 LAKE CHARLES DR,WEDNESDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7610 WILD ONION DR,LOT 14 BLK C YARRABEE BEND SEC 3,0.0,0.0,7610 WILD ONION DR,WEDNESDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7400 ONION CROSSING DR,LOT 13 BLK L ONION CREEK FOREST SEC 4,0.0,0.0,7400 ONION CROSSING DR,WEDNESDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7313 WILD ONION DR,LOT 12 BLK P ONION CREEK FOREST SEC 4,0.0,0.0,7313 WILD ONION DR,WEDNESDAY,Building Abatement Demolition Co Inc,78642
Residential,78756.0,1609 HOUSTON ST,CEN 58FT OF LOT 1  CEN 58FT OF N254FT LOT 2 BLK 7 BROADACRES,5000.0,780.0,1609 HOUSTON ST,WEDNESDAY,DAR Construction,78714-2028
Residential,78702.0,1409 CANTERBURY ST,,7000.0,1278.0,1409 CANTERBURY ST,FRIDAY,Kozer & Associates,78750
Residential,78722.0,1309 NORWOOD RD,LOT 20   N 186FT AV LOT 21 BLK I DELWOOD SEC 2,5000.0,1200.0,1309 NORWOOD RD,WEDNESDAY,Sanchez Lot Clearing,78723
Residential,78704.0,1702 MICHAEL ST,LOT 4A PINCKNEY SUBD RESUB LT 4,16000.0,2970.0,1702 MICHAEL ST,MONDAY,"Finn Design Build, LLC",78702
Residential,78704.0,1000 S 2ND ST,,7000.0,1600.0,1000 S 2ND ST,TUESDAY,"Heart of Texas Demolition, LLC**MAIN***",78617
Residential,78756.0,5400 SHOALWOOD AVE,LOT 1B BLK 6 SHOALMONT ADDN RESUB E140 LT 1  E140 OF S25 LT 2 BLK 6,8000.0,1904.0,5400 SHOALWOOD AVE,FRIDAY,David Whitworth Development Company,78757
Residential,78721.0,1811 J J SEABROOK DR,LOT 21 PAN TEXAS EAST,0.0,0.0,1811 J J SEABROOK DR,THURSDAY,"Benjamin Construction, Inc.",78755
Residential,78723.0,1216 E 51ST ST,W 02378 AC OF LOT 13 BLK 1 RIDGETOP GARDENS RESUB OF LOTS 67  W12 OF 8,7500.0,832.0,1216 E 51ST ST,MONDAY,"Marshall Company, LTD",78469
Residential,78723.0,1210 E 51ST ST,LOT 2 MALONE  FUNDERBURGH SUBD,7500.0,836.0,1210 E 51ST ST,MONDAY,"Marshall Company, LTD",78469
Residential,78702.0,2942 E 14TH ST,011AC OF OLT 29 DIVISION B,7466.0,1344.0,2942 E 14TH ST,FRIDAY,Southwest Destructors****MAIN***,78763
Residential,78744.0,7202 LAKE CHARLES DR,LOT 2 BLK D ONION CREEK PLANTATIONS SEC 1,0.0,0.0,7202 LAKE CHARLES DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78744.0,7106 DIXIE DR,LOT 4 BLK A ONION CREEK PLANTATIONS SEC 1,0.0,0.0,7106 DIXIE DR,MONDAY,Building Abatement Demolition Co Inc,78642
Residential,78722.0,1804 E 40TH ST,LOT 12 LESS W 5FT BLK A SCHIEFFER PLACE SEC 4,0.0,0.0,1804 E 40TH ST,TUESDAY,CLEANTAG LLC,78745
Residential,78733.0,10616 RIVER TER,754 ACR PARKS  ROADS NOT DEDICATED TO PUB  HARBOR TR PANORAMA RANCH SEC 1,2400.0,400.0,10616 RIVER TER,FRIDAY,3C Construction,78747
Residential,78704.0,606 W JOHANNA ST,LOT 13 BLK E BOULDIN JAMES E ADDN,0.0,0.0,606 W JOHANNA ST,FRIDAY,LOC Consultants Civil Division,78702
Residential,78704.0,606 W JOHANNA ST,LOT 13 BLK E BOULDIN JAMES E ADDN,0.0,0.0,606 W JOHANNA ST,FRIDAY,LOC Consultants Civil Division,78702
Residential,78757.0,1212 ROMERIA DR,LOT 23 BLK R VIOLET CROWN HEIGHTS SEC 2,5500.0,249.0,1212 ROMERIA DR,TUESDAY,MSC Builders,78657
Residential,78751.0,207 E 47TH ST,LOT 11A BLK 12 HYDE PARK ANNX AMENDED OF LOTS 912 BLK 12,0.0,0.0,207 E 47TH ST,FRIDAY,Austin CleanUp and Container,78717
Residential,78751.0,207 E 47TH ST,LOT 11A BLK 12 HYDE PARK ANNX AMENDED OF LOTS 912 BLK 12,0.0,0.0,207 E 47TH ST,FRIDAY,Austin CleanUp and Container,78717
Residential,78745.0,1102 RADAM CIR,LOT 14 BLK E SALEM WALK SEC 2,0.0,0.0,1102 RADAM CIR,TUESDAY,AAR Inc.,78642
Residential,78745.0,1100 RADAM CIR,LOT 13 BLK E SALEM WALK SEC 2,0.0,0.0,1100 RADAM CIR,TUESDAY,AAR Inc.,78642
Residential,78745.0,5303 MEADOW CREEK CIR,LOT 17 BLK D EMERALD FOREST SEC 5,7500.0,1600.0,5303 MEADOW CREEK CIR,TUESDAY,AAR Inc.,78642
Residential,78704.0,2502 WILSON ST,,8000.0,1368.0,2502 WILSON ST,FRIDAY,"Greater Austin Builders, LLC **MAIN**",78605
Residential,78702.0,2004 PENNSYLVANIA AVE,,10000.0,826.0,2004 PENNSYLVANIA AVE,WEDNESDAY,Verde Builders,78702
Residential,78751.0,4604 EILERS AVE,LOT 8 BLK B OLT 16 DIV C STAEHELY SUBD,8000.0,1342.0,4604 EILERS AVE,WEDNESDAY,,78759
Residential,78721.0,4702 LEDESMA RD,,5000.0,1432.0,4702 LEDESMA RD,TUESDAY,DAR Construction,78714-2028
Residential,78721.0,5204 SAMUEL HUSTON AVE,,4000.0,884.0,5204 SAMUEL HUSTON AVE,WEDNESDAY,Texas Sprinkler Landscape Irrigation,78613
Residential,78756.0,1307 W 49TH ST,ABS 697 SUR 7 SPEAR G W ACR 205,7500.0,1100.0,1307 W 49TH ST,MONDAY,Cumby Construction,78758
Residential,78746.0,2404 WESTLAKE DR,LOT 32  E 90 FT OF LOT 3334  PT ADJ E PT LAKE SHORE ADDN  ABS 21 SUR 1 41AC SPARKS W,0.0,0.0,2404 WESTLAKE DR,WEDNESDAY,R3 Demo & Removal,78664
