Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78703.0,2505 GREENLEE DR,W 70 FT OF N 178 FT OF LOT 2 BLK D MONTE VISTA NO 2,5000.0,0.0,2505 GREENLEE DR,TUESDAY,D.A.R Construction MAIN,78714-2028
Commercial,78704.0,2900 S CONGRESS AVE,LOT 1 BLK A LIVE OAK INN SUBD,15000.0,11000.0,2900 S CONGRESS AVE,THURSDAY,Central Austin Contractors,
Residential,78702.0,2302 E 9TH ST,LOT 15 BLK 15 GRANDVIEW PLACE,5000.0,2000.0,2302 E 9TH ST,THURSDAY,PITA Asset Management,78731
Residential,78731.0,4201 EDGEMONT DR,LOT 7 BLK R BALCONES PARK ADDN SEC 6,5000.0,1200.0,4201 EDGEMONT DR,FRIDAY,DAR Construction,78714
Residential,78703.0,1907 HILL OAKS CT,LOT 5 HILLVIEW OAKS SEC 2,5000.0,1200.0,1907 HILL OAKS CT,FRIDAY,DAR Construction,78714
Residential,78704.0,217 PARK LN,,5000.0,1200.0,217 PARK LN,FRIDAY,DAR Construction,78714
Residential,78702.0,2216 HASKELL ST,LOT 25 BLK A OLT 62 DIV O DRIVING PARK ADDN NO 2,85000.0,0.0,2216 HASKELL ST,MONDAY,ILCOR,78702
Residential,78705.0,2513 PEARL ST,LOT 1819 OLT 53 DIV D WOOTEN GOODALL SUBD  1581AC OF OLT 53 DIVISION D,5000.0,1200.0,2513 PEARL ST,FRIDAY,DAR Construction,78714
Residential,78721.0,1153 EASTFIELD AVE,N 50' AV OF LOT 7 BLK 6 EASTFIELD,0.0,0.0,1153 EASTFIELD AVE,MONDAY,,78721
Residential,78751.0,4523 DEPEW AVE,LOT 12 BLK 16 OLT 17 DIV C RIDGETOP ANNEX,8600.0,1540.0,4523 DEPEW AVE,TUESDAY,,78628
Commercial,78703.0,2505 ENFIELD RD,,74000.0,7500.0,2505 ENFIELD RD,MONDAY,A & R Demolition Operations Account,78617
Residential,78703.0,1515 ENFIELD RD,LOT 44A COFFMAN ROXAN ADDN,12500.0,3048.0,1515 ENFIELD RD,TUESDAY,,92691
Residential,78703.0,2407 ENFIELD RD,,5000.0,1200.0,2407 ENFIELD RD,FRIDAY,DAR Construction,78714
Residential,78751.0,4214 SPEEDWAY,LOT 3132 BLK 23 HYDE PARK ADDN NO 1,1200.0,508.0,4214 SPEEDWAY,FRIDAY,David Wilkes Builders,78746
Residential,78702.0,1610 HASKELL ST,,5000.0,0.0,1610 HASKELL ST,WEDNESDAY,"Daxcon, LLC",78731
Residential,78702.0,4805 RED BLUFF RD,04400AC OF LOT 1 BLK 4 DEETS E H ET AL ESTATE,2000.0,828.0,4805 RED BLUFF RD,FRIDAY,Frans Dahmen Construction,78757
Residential,78756.0,5110 WOODVIEW AVE,S 25FT OF LOT 17  N 25FT OF LOT 18 BLK 14 SHOALMONT ADDN RESUB,4000.0,900.0,5110 WOODVIEW AVE,MONDAY,,
Residential,78702.0,2607 E 18TH ST,W 55' OF LOT 1 BLK 8 OLT 3233 DIV B GLENWOOD ADDN,1000.0,250.0,2607 E 18TH ST,FRIDAY,,
Residential,78702.0,1204 E 7TH ST,E 47FT OF LOT 11 BLK 2 OLT 23 DIV B ROBERTSON GEO L SUBD,2000.0,1946.0,1204 E 7TH ST,MONDAY,,78705
Residential,78703.0,2203 TOWNES LN,LOT 110  E 25 FT OF LOT 109 TARRY TOWN NO 6,12000.0,2600.0,2203 TOWNES LN,WEDNESDAY,Southwest Destructors****MAIN***,78763
Residential,78751.0,1029 E 44TH ST,LOT 47 OLT 18 DIV C MAYFAIR TERRACE,1000.0,4520.0,1029 E 44TH ST,MONDAY,,78745
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,50.0,350.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,2000.0,6000.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,2000.0,6000.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,50.0,450.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,200.0,1050.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,100.0,1500.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,100.0,600.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,1000.0,4000.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Commercial,78703.0,1611 W 5TH ST,ABS 697 SUR 7 SPEAR G W ACR 318,100.0,450.0,1611 W 5TH ST,THURSDAY,"Gables Construction, Inc.",78750
Residential,78702.0,1800 RIVERVIEW ST,LOT 18 OLT 59 DIV O TAYLOR V E SECOND SUBD,1500.0,772.0,1800 RIVERVIEW ST,WEDNESDAY,Generation 3 Construction,78750
Residential,78702.0,1710 ULIT AVE,E 65 FT OF LOT 12 BLK 5 OLT 31 DIV B ULIT H SECOND ADDN,0.0,0.0,1710 ULIT AVE,FRIDAY,Camino's Custom Homes,78721
Residential,78746.0,4200 RIVERCREST DR,LOT 5 BLK C AQUA VERDE LOT K MCDETT ESTATE,50000.0,0.0,4200 RIVERCREST DR,FRIDAY,Coldwater Dozing,
Commercial,78704.0,2043 S LAMAR BLVD,PART OF LOTS 1013 BLK 1 FREDERICKSBURG ROAD ACRES,500.0,0.0,2043 S LAMAR BLVD,MONDAY,"JS TRAIN, LLC",78704-1457
